b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,b
b,f,r,f,f,f,f,f,f,f,f,f,f,f,f,b,b,f,f,b
b,f,f,f,b,b,b,b,f,f,b,b,b,b,b,b,b,f,f,b
b,b,b,b,b,f,f,b,f,f,b,b,b,b,b,b,b,b,b,b
b,f,f,f,f,f,f,b,f,f,b,f,f,f,f,f,b,f,f,b
b,f,f,f,f,f,f,b,f,f,b,f,f,b,f,f,b,f,f,b
b,f,f,f,b,b,b,b,f,f,b,f,f,b,f,f,b,f,f,b
b,f,f,f,f,f,f,b,f,f,b,f,f,b,f,f,b,f,f,b
b,f,f,f,f,f,f,b,f,f,b,f,f,b,f,f,b,f,f,b
b,f,f,b,f,f,f,b,f,f,b,b,b,b,f,f,b,f,f,b
b,f,f,b,f,f,f,b,f,f,f,f,f,f,f,f,b,f,f,b
b,f,f,b,f,f,f,b,f,f,f,f,f,f,f,f,b,f,f,b
b,f,f,b,f,f,f,b,f,f,b,b,b,b,b,b,b,f,f,b
b,f,f,b,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,b
b,f,f,b,f,f,f,f,f,f,f,f,f,f,f,f,b,b,b,b
b,f,f,b,b,b,b,b,b,b,b,f,f,b,f,f,f,f,f,b
b,f,f,f,f,f,f,f,f,f,f,f,f,b,f,f,f,t,f,b
b,f,f,f,f,f,f,f,f,f,f,f,f,b,f,f,f,f,f,b
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
